,Country,anthem,currency,largestCity,officialLanguage,hypernym,sovereigntyType,timeZoneDst,timeZone,languages,utcOffset,utcOffsetDst,areaSqMi,currencyCode,dateFormat,drivesOn,gdpPppYear,giniChange,giniYear,hdiChange,hdiYear,languages2Type,nationalAnthem,nationalMotto,officialLanguages,patronSaint,populationCensus,populationCensusYear,populationDensitySqMi,populationEstimate,populationEstimateYear,language,motto,percentageOfAreaWater,d,junHighC,religion,source,width,ethnicGroupsYear,gdpNominalRank,ethnicGroup,titlebar,gdpPppPerCapitaRank,languagesType,lowerHouse,religionYear,house,mapCaption,gdpPppRank,sovereigntyNote,giniRank,footerAlign,iso31661Code,perrow,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week % increase,WHO Region,octLowC
17,16,2,10,12,0,6,12,2,4,7,4,5,10,9,0,3,2021,1,2019,1,2019,0,16,0,0,0,-1,-1,601,38,7,11,0,1.27,0,-1,0,0,155,0,4,0,0,15,7,2,0,1,0,22,0,-1,0,0,-1,7673,445,1,259,4.41,91.89,4.79,203325,1.86,1,-1
18,17,9,10,12,0,1,13,4,5,8,2,4,33,9,1,6,2020,2,2020,1,2019,0,0,0,0,0,10816286,2011,212,3,7,12,8,1.51,0,-1,11,0,211,0,51,0,0,47,7,0,6,0,0,25,0,60,2,0,-1,2651,34,0,0,4.78,32.51,14.7,4012,5.36,1,-1
19,0,0,8,12,0,1,0,0,0,5,0,0,40,8,4,6,2011,3,2015,1,2010,0,0,0,12,0,-1,-1,0.069,27,7,0,0,-1,2,-1,6,0,-1,12,-1,0,1,40,14,0,0,0,5,38,0,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
20,0,0,0,0,0,3,42,0,0,10,0,0,0,0,0,0,-1,0,-1,0,-1,13,0,0,0,7,-1,-1,-1,0,0,0,0,-1,0,-1,1,0,100,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
21,18,0,14,12,14,7,14,2,4,0,4,5,29,12,11,6,2020,2,2020,1,2019,0,34,0,13,10,-1,-1,9769526,43,8,0,0,3.7,0,-1,0,0,143,17,53,8,0,41,0,0,11,0,0,25,0,-1,0,0,-1,523,13,0,0,13.4,74.84,17.9,4339,2.51,1,-1
22,19,16,15,12,0,1,15,0,13,9,0,0,30,14,9,2,2020,1,2018,1,2019,0,6,0,0,8,315556,2011,9.2,18,8,15,0,2.07,0,-1,18,0,200,12,-1,15,0,16,7,0,9,0,0,9,0,2,0,0,-1,21,7,0,0,0.54,98.33,0.55,1839,0.82,1,-1
23,0,0,0,0,0,2,0,0,0,23,11,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
24,20,7,20,12,21,7,39,5,6,1,6,6,39,13,4,6,2020,0,2018,1,2019,0,24,0,21,0,7412200,2008,-1,0,0,23,0,2.71,8,-1,13,0,727,13,31,1,0,34,17,0,8,0,1,23,0,48,0,3,-1,36378,2029,4,108,0.74,42.41,1.75,52003,23.04,1,-1
25,21,0,12,12,15,6,16,2,4,12,4,5,5,9,0,6,2021,1,2019,1,2019,0,12,0,15,0,59433744,2011,521.5,29,7,18,0,1.24,5,-1,0,0,500,11,8,10,1,29,6,3,9,2,0,6,0,-1,0,0,2,12581,168,5,147,14.26,80.64,17.68,244624,0.68,1,-1
26,22,17,16,1,16,1,17,0,9,3,5,0,2,16,0,6,2020,2,2017,1,2019,4,27,0,16,0,-1,-1,18,6,7,16,0,1.7,0,-1,0,0,-1,14,55,11,1,53,1,12,0,15,0,19,0,-1,0,0,-1,29659,1526,0,1833,0.69,64.27,1.08,73468,15.22,1,-1
27,23,5,12,12,1,8,0,2,4,0,4,5,31,9,7,4,2020,2,2017,1,2016,11,23,0,0,0,-1,2011,412,9,8,29,0,1,0,-1,8,0,900,3,-1,31,1,-1,0,0,1,0,2,0,0,121,0,10,-1,3201,496,16,274,2.5,54.32,4.59,5877,26.14,1,-1
28,24,23,17,12,17,1,18,0,7,18,10,0,0,15,0,6,2019,2,2018,1,2019,0,20,0,17,0,5362800,2009,71,32,7,26,0,3.6,9,-1,6,0,-1,13,141,29,1,134,1,0,0,0,0,5,0,-1,0,4,-1,10790,483,24,817,3.91,63.69,6.14,27143,22.67,1,-1
29,25,4,10,12,18,1,19,4,5,0,6,6,23,9,0,6,2021,1,2019,1,2019,0,14,0,18,0,2070371,2011,77,7,7,0,0,2.09,0,-1,0,0,220,13,-1,33,0,-1,0,0,0,0,0,0,1,-1,0,0,-1,143,0,0,0,2.54,85.73,2.97,1192,2.27,1,-1
30,26,26,28,6,13,0,38,3,4,0,1,3,36,7,0,6,2013,0,-1,1,2019,0,30,3,11,0,-1,-1,-1,22,0,0,3,2.7,4,-1,3,0,-1,0,147,0,0,3,0,0,4,0,0,10,0,-1,0,0,-1,4,0,0,0,1.16,94.19,1.23,86,0,1,-1
31,27,32,10,12,19,1,20,4,5,0,6,6,24,9,10,6,2021,1,2019,1,2019,0,31,0,19,0,-1,-1,111,13,8,0,0,1.98,0,19.9,0,5,300,16,80,16,1,34,0,0,5,0,0,34,0,-1,1,0,-1,319,11,0,4,3.96,80.24,4.94,1947,3.7,1,4
32,28,27,10,12,20,1,37,2,4,0,4,5,44,9,9,6,2020,2,2019,1,2019,0,9,0,10,0,512353,2011,602.8,31,13,0,0,0.23,0,-1,0,0,-1,0,69,0,0,2,0,0,7,0,0,37,0,19,0,0,-1,1384,49,0,178,1.77,76.33,2.32,5639,12.09,1,-1
33,29,0,10,7,10,1,37,1,3,14,4,5,7,9,9,5,2019,1,2019,1,2019,0,34,0,20,0,-1,2011,4231,0,6,21,0,0.001,0,28.6,14,3,80,13,-1,13,0,-1,13,0,8,0,0,0,6,15,0,0,-1,27,1,0,0,1.28,94.86,1.35,677,3.55,1,18.1
34,30,15,19,12,24,1,21,4,5,0,6,6,9,17,0,6,2021,1,2018,1,2019,0,19,0,24,0,-1,-1,234,12,1,30,0,1.4,0,-1,9,0,170,9,144,33,1,118,15,0,3,0,10,8,0,-1,2,0,-1,6252,120,13,245,3.23,69.77,4.63,21115,9.66,1,-1
35,31,10,10,5,12,4,37,2,4,0,4,5,1,9,0,1,2015,0,-1,0,-1,0,22,0,9,0,37308,2016,48462,21,6,24,7,-1,0,23.7,4,4,-1,0,145,6,0,3,3,0,0,0,0,12,0,-1,0,0,-1,8,0,0,0,3.45,89.66,3.85,109,6.42,1,15.2
36,32,0,11,12,22,7,22,2,4,0,4,5,0,9,8,6,2020,1,2019,1,2019,2,1,0,22,0,-1,2011,124,30,7,1,0,2.6,0,-1,0,0,150,6,153,7,0,63,0,0,1,0,0,10,0,-1,0,0,-1,2039,94,2,70,1.56,27.96,5.56,2188,32.22,1,-1
37,0,0,31,12,9,0,37,0,0,0,0,0,0,0,4,6,2021,2,2020,1,2019,1,13,4,8,0,16655799,2011,-1,0,0,8,4,18.41,0,20.9,0,2,152,14,17,25,0,11,18,8,8,10,0,15,0,-1,0,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7.1
38,33,0,18,12,1,0,37,2,4,0,4,5,43,18,7,6,2019,1,2019,1,2019,0,21,0,0,5,2022547,2002,210.5,10,6,0,0,1.9,0,-1,5,0,220,2,-1,32,1,-1,0,0,1,0,0,0,4,-1,0,5,-1,4183,127,6,137,4.56,54.48,8.38,9249,10.42,1,-1
