source,target
Country,official Language
Deaths / 100 Cases,spread of the covid-19 virus
economy of a country,population size
climate,official Language
climate,geography
official Language,Country
official Language,climate
geography,climate
geography,time zone
spread of the covid-19 virus,Deaths / 100 Cases
population size,economy of a country
time zone,geography
