source,target
Deaths / 100 Cases,spread of the covid-19 virus
Deaths / 100 Cases,time zone
economy of a country,population size
new cases of the covid-19,official Language
official Language,Country
official Language,new cases of the covid-19
official Language,climate
geography,climate
geography,time zone
spread of the covid-19 virus,Deaths / 100 Cases
population size,economy of a country
ethnic groups,Country
