,Cluster,N_Vars,Eigval1,Eigval2,VarProp,center,Variables
0,0,4,3.153264333968253,0.4668561794726374,0.7883160834920633,populationTotal,date_y;populationDensity;populationEst;populationTotal
1,1,5,3.3542160084671098,0.9994946107733275,0.670843201693422,SECURITY_DELAY,AIRLINE;SECURITY_DELAY;airline;assets;numEmployees;destinations;fleetSize;numberOfEmployees
2,2,3,2.635353224408633,0.23504750835197147,0.8784510748028778,aprSnowInch,aprSnowInch;elevation;elevationFt;areaWaterKm
3,3,3,1.9920886344985747,0.9997042885692409,0.6640295448328581,DAY_OF_WEEK,DAY_OF_WEEK;MONTH;Unnamed: 0
4,4,6,3.574108221548772,0.9286781074464834,0.5956847035914622,febRecordLowF,febRecordLowF;julHighF;location;yearRecordLowFoctRecordLowF;novRecordLowF
6,6,4,2.6022699048024354,0.9418887683410726,0.6505674762006088,State,State;establishedDate;DISTANCE
8,8,4,3.0733797322988536,0.49898404057912654,0.7683449330747137,areaLandKm,areaLandKm;junHumidity;populationMetro;populationDemonym
