,ORIGIN_AIRPORT,City,State
189,MAF,"Midland/Odessa, Texas",Texas
190,MBS,"Saginaw, Michigan",Michigan
191,MCI,"Kansas City, Missouri",Missouri
192,MCO,"Orlando, Florida",Florida
193,MDT,"Harrisburg, Pennsylvania",Pennsylvania
194,MDW,"Chicago, Illinois",Illinois
195,MEI,"Meridian, Mississippi",Mississippi
196,MEM,"Memphis, Tennessee",Tennessee
197,MFE,"Mission/Mcallen, Texas",Texas
198,MFR,"Medford, Oregon",Oregon
199,MGM,"Montgomery, Alabama",Alabama
200,MHK,"Manhattan, Kansas",Kansas
201,MHT,"Manchester, New Hampshire",New_Hampshire
202,MIA,"Miami, Florida",Florida
203,MKE,"Milwaukee, Wisconsin",Wisconsin
204,MKG,"Muskegon, Michigan",Michigan
205,MLB,"Melbourne, Florida",Florida
206,MLI,"Moline, Illinois",Illinois
207,MLU,"Monroe, Louisiana",Louisiana
208,MMH,"Mammoth Lakes, California",California
209,MOB,"Mobile, Alabama",Alabama
210,MOT,"Minot, North Dakota",North_Dakota
211,MQT,"Marquette, Michigan",Michigan
212,MRY,"Monterey, California",California
213,MSN,"Madison, Wisconsin",Wisconsin
214,MSO,"Missoula, Montana",Montana
215,MSP,"Minneapolis/St.Paul, Minnesota",Minnesota
216,MSY,"New Orleans, Louisiana",Louisiana
217,MTJ,"Montrose, Colorado",Colorado
218,MVY,"Martha'S Vineyard, Ma",Ma
219,MYR,"Myrtle Beach, South Carolina",South_Carolina
220,OAJ,"Jacksonville, North Carolina",North_Carolina
221,OAK,"Oakland, California",California
222,OGG,"Kahului, Maui",Maui
223,OKC,"Oklahoma City, Oklahoma",Oklahoma
224,OMA,"Omaha, Nebraska",Nebraska
225,OME,"Nome, Alaska",Alaska
226,ONT,"Ontario, California",California
227,ORD,"Chicago, Illinois",Illinois
228,ORF,"Norfolk, Virginia",Virginia
229,ORH,"Worcester, Massachusetts",Massachusetts
230,OTH,"North Bend, Oregon",Oregon
231,OTZ,"Kotzebue, Alaska",Alaska
232,PAH,"Paducah, Kentucky",Kentucky
233,PBG,"Plattsburgh, New York",New_York
234,PBI,"West Palm Beach, Florida",Florida
235,PDX,"Portland, Oregon",Oregon
236,PHF,"Newport News/Wmsburg, Virginia",Virginia
237,PHL,"Philadelphia, Pennsylvania",Pennsylvania
238,PHX,"Phoenix, Arizona",Arizona
239,PIA,"Peoria, Illinois",Illinois
240,PIB,"Laurel/Hattiesburg, Mississippi",Mississippi
241,PIH,"Pocatello, Idaho",Idaho
242,PIT,"Pittsburgh, Pennsylvania",Pennsylvania
243,PLN,"Pellston, Michigan",Michigan
244,PNS,"Pensacola, Florida",Florida
245,PPG,"Pago Pago, Samoa",Samoa
246,PSC,"Pasco, Washington",Washington
247,PSE,"Ponce, Puerto Rico",Puerto_Rico
248,PSG,"Petersburg, Alaska",Alaska
249,PSP,"Indio/Palm Springs, California",California
250,PUB,"Pueblo, Colorado",Colorado
251,PVD,"Providence, Rhode Island",Rhode_Island
252,PWM,"Portland, Maine",Maine
253,RAP,"Rapid City, South Dakota",South_Dakota
254,RDD,"Redding, California",California
255,RDM,"Redmond, Oregon",Oregon
256,RDU,"Raleigh/Durham, North Carolina",North_Carolina
257,RHI,"Rhinelander, Wisconsin",Wisconsin
258,RIC,"Richmond, Virginia",Virginia
259,RKS,"Rock Springs, Wyoming",Wyoming
260,RNO,"Reno, Nevada",Nevada
261,ROA,"Roanoke, Virginia",Virginia
262,ROC,"Rochester, New York",New_York
263,ROW,"Roswell, New Mexico",New_Mexico
264,RST,"Rochester, Minnesota",Minnesota
265,RSW,"Ft. Myers, Florida",Florida
266,SAF,"Santa Fe, New Mexico",New_Mexico
267,SAN,"San Diego, California",California
268,SAT,"San Antonio, Texas",Texas
269,SAV,"Savannah, Georgia",Georgia
270,SBA,"Santa Barbara, California",California
271,SBN,"South Bend, Indiana",Indiana
272,SBP,"San Luis Obispo, California",California
273,SCC,"Deadhorse, Alaska",Alaska
274,SCE,"State College, Pennsylvania",Pennsylvania
275,SDF,"Louisville, Kentucky",Kentucky
276,SEA,"Seattle, Washington",Washington
277,SFO,"San Francisco, California",California
278,SGF,"Springfield, Missouri",Missouri
279,SGU,"St. George, Utah",Utah
280,SHV,"Shreveport, Louisiana",Louisiana
281,SIT,"Sitka, Alaska",Alaska
282,SJC,"San Jose, California",California
283,SJT,"San Angelo, Texas",Texas
284,SJU,"San Juan, Puerto Rico",Puerto_Rico
285,SLC,"Salt Lake City, Utah",Utah
286,SMF,"Sacramento, California",California
287,SMX,"Santa Maria, California",California
288,SNA,"Santa Ana, California",California
289,SPI,"Springfield, Illinois",Illinois
290,SPS,"Wichita Falls, Texas",Texas
291,SRQ,"Sarasota/Bradenton, Florida",Florida
292,STC,"St. Cloud, Minnesota",Minnesota
293,STL,"St. Louis, Missouri",Missouri
294,STT,"Charlotte Amalie, St.Thomas",St.Thomas
295,STX,"Christiansted, St.Croix",St.Croix
296,SUN,"Sun Valley, Idaho",Idaho
297,SUX,"Sioux City, Iowa",Iowa
298,SWF,"Newburgh, New York",New_York
299,SYR,"Syracuse, New York",New_York
300,TLH,"Tallahassee, Florida",Florida
301,TOL,"Toledo, Ohio",Ohio
302,TPA,"Tampa, Florida",Florida
303,TRI,"Bristol, Tennessee",Tennessee
304,TTN,"Trenton, New Jersey",New_Jersey
305,TUL,"Tulsa, Oklahoma",Oklahoma
306,TUS,"Tucson, Arizona",Arizona
307,TVC,"Traverse City, Michigan",Michigan
308,TWF,"Twin Falls, Idaho",Idaho
309,TXK,"Texarkana, Arkansas",Arkansas
310,TYR,"Tyler, Texas",Texas
311,TYS,"Knoxville, Tennessee",Tennessee
312,UST,"St. Augustine, Florida",Florida
313,VEL,"Vernal, Utah",Utah
314,VLD,"Valdosta, Georgia",Georgia
315,VPS,"Valparaiso, Florida",Florida
316,WRG,"Wrangell, Alaska",Alaska
317,WYS,"West Yellowstone, Montana",Montana
318,XNA,"Fayetteville, Ak",Ak
319,YAK,"Yakutat, Alaska",Alaska
320,YUM,"Yuma, Arizona",Arizona
