,Country,anthem,currency,largestCity,officialLanguage,hypernym,sovereigntyType,timeZoneDst,timeZone,languages,utcOffset,utcOffsetDst,areaSqMi,currencyCode,dateFormat,drivesOn,gdpNominalYear,gdpPppYear,gini,giniChange,giniYear,hdiChange,hdiYear,languages2Type,nationalAnthem,nationalMotto,officialLanguages,patronSaint,populationCensus,populationCensusYear,populationDensitySqMi,populationEstimate,populationEstimateYear,language,motto,percentageOfAreaWater,giniCoefficient,aprHighC,aprLowC,aprMeanC,aprPrecipitationMm,augHighC,augLowC,augMeanC,augPrecipitationMm,d,decHighC,decLowC,decMeanC,decPrecipitationMm,febHighC,febLowC,febMeanC,febPrecipitationMm,janHighC,janLowC,janMeanC,janPrecipitationMm,julHighC,julLowC,julMeanC,julPrecipitationMm,junHighC,junLowC,junMeanC,junPrecipitationMm,location,marHighC,marLowC,marMeanC,marPrecipitationMm,mayHighC,mayLowC,mayMeanC,mayPrecipitationMm,metricFirst,novHighC,novLowC,novMeanC,novPrecipitationMm,octHighC,octLowC,octMeanC,octPrecipitationMm,religion,sepHighC,sepLowC,sepMeanC,sepPrecipitationMm,singleLine,source,width,yearHighC,yearLowC,yearMeanC,yearPrecipitationMm,ethnicGroupsYear,gdpNominalPerCapitaRank,gdpNominalRank,ethnicGroup,titlebar,gdpPppPerCapitaRank,languagesType,lowerHouse,religionYear,house,mapCaption,gdpPppRank,sovereigntyNote,giniRank,footerAlign,iso31661Code,perrow,Confirmed,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
10,11,0,10,12,31,1,37,4,5,0,6,6,28,9,0,4,2019.0,2019.0,31.1,2,2019.0,1,2019.0,12,17,0,0,0,838897.0,2011.0,319.5,0,0,4,0,9.0,31.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0,227.0,-1.0,-1.0,-1.0,-1.0,0,33.0,114.0,2,1,35.0,4,0,9,0,4,4,0,-1.0,0,0,-1.0,1060.0,852.0,189.0,3.0,0.0,0.0,1.79,80.38,2.23,1038.0,22.0,2.12,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,0,0,0,0,0,-1.0,-1.0,-1.0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,0,0,-1.0,0,0,0,0,0,0,0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
12,12,0,8,12,8,1,9,2,4,0,4,5,0,8,2,3,2018.0,2018.0,27.3,1,2020.0,1,2019.0,0,0,0,7,0,-1.0,-1.0,-1.0,28,16,13,0,1.74,27.3,11.5,3.6,7.5,37.0,21.2,13.5,17.2,91.0,0,4.2,8,2.2,61.0,3.3,8,1.2,50.0,3.3,8,1.5,66.0,21.6,13.4,17.4,77.0,18.5,10.6,14.6,68.0,4,6.1,8,3.0,43.0,15.5,7.4,11.4,53.0,1,7.9,3.2,5.7,75.0,12.3,6.2,9.4,83.0,10,17.5,10.2,13.8,62.0,1,0,-1.0,11.9,5.5,8.8,765.0,0,6.0,34.0,9,0,19.0,0,0,9,0,7,24,0,-1.0,1,0,-1.0,13761.0,12605.0,543.0,109.0,0.0,77.0,4.45,91.6,4.86,13453.0,308.0,2.29,1
13,13,20,10,8,0,1,10,4,5,0,2,4,14,9,0,0,2021.0,2021.0,30.5,3,2020.0,1,2019.0,0,35,0,0,0,1294455.0,-1.0,75.0,5,8,0,0,5.16,30.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0,124.0,-1.0,-1.0,-1.0,-1.0,15,35.0,97.0,0,0,37.0,7,0,1,0,0,0,3,-1.0,0,0,-1.0,2034.0,1923.0,42.0,0.0,0.0,1.0,3.39,94.54,3.59,2021.0,13.0,0.64,1
14,14,0,10,12,11,7,41,4,5,0,6,6,8,9,3,6,2020.0,2020.0,26.5,2,2020.0,1,2019.0,0,34,0,0,0,-1.0,-1.0,41.0,26,3,9,0,9.71,26.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0,180.0,-1.0,-1.0,-1.0,-1.0,14,14.0,43.0,5,0,19.0,0,0,9,0,0,28,2,-1.0,0,0,-1.0,7398.0,6920.0,149.0,5.0,0.0,0.0,4.45,93.54,4.75,7340.0,58.0,0.79,1
15,15,14,6,12,0,7,11,1,4,6,4,5,22,0,9,6,2021.0,2021.0,29.2,2,2019.0,1,2019.0,0,33,1,0,0,-1.0,-1.0,301.0,33,14,10,5,0.86,29.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0,24.0,7.0,0,0,25.0,7,13,9,14,0,35,0,-1.0,0,0,-1.0,220352.0,81212.0,108928.0,2551.0,17.0,267.0,13.71,36.86,37.2,214023.0,6329.0,2.96,1
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,0,0,0,0,0,-1.0,-1.0,-1.0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,0,0,-1.0,0,0,0,0,0,0,0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
17,16,2,10,12,0,6,12,2,4,7,4,5,10,9,0,3,2021.0,2021.0,29.7,1,2019.0,1,2019.0,0,16,0,0,0,-1.0,-1.0,601.0,38,7,11,0,1.27,29.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0,155.0,-1.0,-1.0,-1.0,-1.0,0,15.0,4.0,0,0,15.0,7,2,0,1,0,22,0,-1.0,0,0,-1.0,207112.0,190314.0,7673.0,445.0,1.0,259.0,4.41,91.89,4.79,203325.0,3787.0,1.86,1
18,17,9,10,12,0,1,13,4,5,8,2,4,33,9,1,6,2020.0,2020.0,31.1,2,2020.0,1,2019.0,0,0,0,0,0,10816286.0,2011.0,212.0,3,7,12,8,1.51,31.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11,-1.0,-1.0,-1.0,-1.0,0,0,211.0,-1.0,-1.0,-1.0,-1.0,0,41.0,51.0,0,0,47.0,7,0,6,0,0,25,0,60.0,2,0,-1.0,4227.0,1374.0,2651.0,34.0,0.0,0.0,4.78,32.51,14.7,4012.0,215.0,5.36,1
19,0,0,8,12,0,1,0,0,0,5,0,0,40,8,4,6,-1.0,2011.0,33.9,3,2015.0,1,2010.0,0,0,0,12,0,-1.0,-1.0,0.069,27,7,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6,-1.0,-1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,12,-1.0,-1.0,0,1,40.0,14,0,0,0,5,38,0,-1.0,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
20,0,0,0,0,0,3,42,0,0,10,0,0,0,0,0,0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,13,0,0,0,7,-1.0,-1.0,-1.0,0,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-1.0,-1.0,-1.0,-1.0,0,0,100.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,0,0,-1.0,0,0,0,0,0,0,0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
21,18,0,14,12,14,7,14,2,4,0,4,5,29,12,11,6,2020.0,2020.0,28.3,2,2020.0,1,2019.0,0,34,0,13,10,-1.0,-1.0,9769526.0,43,8,0,0,3.7,28.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,0,143.0,-1.0,-1.0,-1.0,-1.0,17,45.0,53.0,8,0,41.0,0,0,11,0,0,25,0,-1.0,0,0,-1.0,4448.0,3329.0,523.0,13.0,0.0,0.0,13.4,74.84,17.9,4339.0,109.0,2.51,1
